Date,total_curtailment_mwh
2024-05-01 00:00:00,0
2024-05-01 01:00:00,0
2024-05-01 02:00:00,0
2024-05-01 03:00:00,0
2024-05-01 04:00:00,0
2024-05-01 05:00:00,0
2024-05-01 06:00:00,0
2024-05-01 07:00:00,397
2024-05-01 08:00:00,1101
2024-05-01 09:00:00,1783
2024-05-01 10:00:00,1683
2024-05-01 11:00:00,1761
2024-05-01 12:00:00,2075
2024-05-01 13:00:00,2266
2024-05-01 14:00:00,2255
2024-05-01 15:00:00,2658
2024-05-01 16:00:00,2737
2024-05-01 17:00:00,1366
2024-05-01 18:00:00,72
2024-05-01 19:00:00,0
2024-05-01 20:00:00,0
2024-05-01 21:00:00,0
2024-05-01 22:00:00,0
2024-05-01 23:00:00,0
2024-05-02 00:00:00,0
2024-05-02 01:00:00,0
2024-05-02 02:00:00,0
2024-05-02 03:00:00,0
2024-05-02 04:00:00,0
2024-05-02 05:00:00,0
2024-05-02 06:00:00,0
2024-05-02 07:00:00,65
2024-05-02 08:00:00,544
2024-05-02 09:00:00,697
2024-05-02 10:00:00,790
2024-05-02 11:00:00,830
2024-05-02 12:00:00,1035
2024-05-02 13:00:00,691
2024-05-02 14:00:00,1377
2024-05-02 15:00:00,1829
2024-05-02 16:00:00,2031
2024-05-02 17:00:00,930
2024-05-02 18:00:00,69
2024-05-02 19:00:00,0
2024-05-02 20:00:00,0
2024-05-02 21:00:00,0
2024-05-02 22:00:00,0
2024-05-02 23:00:00,0
2024-05-03 00:00:00,0
2024-05-03 01:00:00,0
2024-05-03 02:00:00,0
2024-05-03 03:00:00,0
2024-05-03 04:00:00,0
2024-05-03 05:00:00,0
2024-05-03 06:00:00,0
2024-05-03 07:00:00,284
2024-05-03 08:00:00,487
2024-05-03 09:00:00,713
2024-05-03 10:00:00,654
2024-05-03 11:00:00,863
2024-05-03 12:00:00,943
2024-05-03 13:00:00,1142
2024-05-03 14:00:00,2763
2024-05-03 15:00:00,2873
2024-05-03 16:00:00,2863
2024-05-03 17:00:00,2171
2024-05-03 18:00:00,95
2024-05-03 19:00:00,0
2024-05-03 20:00:00,0
2024-05-03 21:00:00,0
2024-05-03 22:00:00,0
2024-05-03 23:00:00,0
2024-05-04 00:00:00,0
2024-05-04 01:00:00,0
2024-05-04 02:00:00,0
2024-05-04 03:00:00,0
2024-05-04 04:00:00,0
2024-05-04 05:00:00,0
2024-05-04 06:00:00,0
2024-05-04 07:00:00,178
2024-05-04 08:00:00,268
2024-05-04 09:00:00,192
2024-05-04 10:00:00,42
2024-05-04 11:00:00,33
2024-05-04 12:00:00,18
2024-05-04 13:00:00,8
2024-05-04 14:00:00,5
2024-05-04 15:00:00,2
2024-05-04 16:00:00,0
2024-05-04 17:00:00,0
2024-05-04 18:00:00,13
2024-05-04 19:00:00,0
2024-05-04 20:00:00,0
2024-05-04 21:00:00,0
2024-05-04 22:00:00,0
2024-05-04 23:00:00,0
2024-05-05 00:00:00,4
2024-05-05 01:00:00,44
2024-05-05 02:00:00,48
2024-05-05 03:00:00,22
2024-05-05 04:00:00,28
2024-05-05 05:00:00,3
2024-05-05 06:00:00,0
2024-05-05 07:00:00,809
2024-05-05 08:00:00,1983
2024-05-05 09:00:00,3194
2024-05-05 10:00:00,3870
2024-05-05 11:00:00,5295
2024-05-05 12:00:00,5969
2024-05-05 13:00:00,5610
2024-05-05 14:00:00,6563
2024-05-05 15:00:00,6573
2024-05-05 16:00:00,5933
2024-05-05 17:00:00,3586
2024-05-05 18:00:00,320
2024-05-05 19:00:00,1
2024-05-05 20:00:00,0
2024-05-05 21:00:00,0
2024-05-05 22:00:00,0
2024-05-05 23:00:00,0
2024-05-06 00:00:00,0
2024-05-06 01:00:00,0
2024-05-06 02:00:00,0
2024-05-06 03:00:00,0
2024-05-06 04:00:00,0
2024-05-06 05:00:00,0
2024-05-06 06:00:00,0
2024-05-06 07:00:00,753
2024-05-06 08:00:00,1463
2024-05-06 09:00:00,2610
2024-05-06 10:00:00,2725
2024-05-06 11:00:00,3174
2024-05-06 12:00:00,3232
2024-05-06 13:00:00,3362
